feature,pred_0,pred_1
FSEARN,-0.01,0.01
LIQRESOR,-0.02,0.02
FSTOTDE2,-0.0,0.0
TPOV,-0.01,0.01
TANF_IND,0.02,-0.02
WRK_POOR,-0.01,0.01
FSERNDED,-0.0,0.0
FSNETINC,-0.0,0.0
HWGT,0.06,-0.06
RAWERND,-0.0,0.0
FSSTDDE2,0.03,-0.03
FSSSI,0.01,-0.01
FSGA,0.0,-0.0
FSSLTDE2,0.0,-0.0
REALPROP,0.0,0.0
FSTOTDED,-0.03,0.03
FSERNDE2,-0.01,0.01
FSASSET,-0.03,0.03
FSUSIZE,-0.01,0.01
FSUNEARN,0.03,-0.03
FSGRINC,0.01,-0.01
RAWNET,-0.01,0.01
FSNELDER,0.0,-0.0
SHELDED,0.12,-0.12
CERTHHSZ,0.0,-0.0
FSWAGES,-0.01,0.01
FSSLTDED,0.14,-0.14
FSDIS,0.0,-0.0
FSTANF,0.02,-0.02
FSNONCIT,0.02,-0.02
FSVEHAST,0.0,0.0
VEHICLEA,0.04,-0.04
