state,FSSLTDED,SHELDED,HWGT,VEHICLEA,FSSTDDE2,FSUNEARN,FSASSET,FSTOTDED,LIQRESOR,FSNONCIT,FSTANF,TANF_IND,FSWAGES,RAWNET,FSGRINC
Connecticut,584,584,3575,1,240,920,0,744,0,0,0,0,0,176,920
Connecticut,969,968,3704,1,240,1197,0,1171,0,0,0,0,212,239,1409
Connecticut,969,969,3521,1,240,1278,0,1129,0,0,0,0,0,149,1278
Connecticut,0,0,3216,1,0,0,0,160,0,0,0,0,0,0,0
Connecticut,802,802,3527,1,240,1113,0,962,0,0,0,0,0,151,1113
Connecticut,546,728,4416,1,240,0,0,1049,0,0,0,0,1716,535,1716
Connecticut,535,535,2763,4,24,860,0,2299,0,0,0,0,1303,724,2163
Connecticut,576,576,3778,1,240,1011,0,736,0,0,0,0,0,276,1011
Connecticut,1054,1054,3216,1,0,909,0,1214,0,0,0,0,0,0,909
Connecticut,0,0,2763,4,26,26,0,160,0,0,0,0,0,0,26
Connecticut,966,966,3541,1,240,1331,0,1172,0,0,0,0,0,159,1331
Connecticut,696,696,4022,1,240,1250,0,856,0,0,0,0,0,395,1250
Connecticut,535,535,2962,1,44,515,0,695,0,0,0,0,0,0,515
Connecticut,535,535,3466,1,160,0,0,899,0,0,0,0,1022,122,1022
Connecticut,535,535,2962,4,0,200,0,695,0,0,0,0,0,0,200
Connecticut,535,517,3216,4,115,650,0,695,0,0,0,0,0,0,650
Connecticut,1341,1341,3216,4,0,1245,0,1501,0,0,0,0,0,0,1245
Connecticut,535,535,4294,4,266,1332,0,843,0,0,0,0,400,890,1732
Connecticut,335,335,3770,1,255,0,0,765,0,0,0,0,1303,537,1303
Connecticut,535,535,4589,1,160,0,0,1068,0,0,0,0,1867,799,1867
Connecticut,0,0,4389,1,160,735,0,160,0,0,0,0,0,575,735
Connecticut,535,535,3805,4,160,0,0,940,0,0,0,0,1229,288,1229
Connecticut,535,535,3216,1,0,0,0,808,0,0,0,0,568,0,568
Connecticut,831,831,3216,1,3,754,0,991,0,0,0,0,0,0,754
Connecticut,226,226,4280,1,240,909,0,386,0,0,0,0,0,524,909
Connecticut,561,561,3277,1,240,0,0,908,0,0,0,0,938,30,938
Connecticut,452,452,3312,1,240,879,0,612,0,0,487,1,0,267,879
Connecticut,535,1053,2962,4,0,219,0,728,0,0,0,0,168,0,387
Connecticut,535,535,4024,1,160,0,0,1023,0,0,0,0,1641,617,1641
Connecticut,0,0,3216,1,0,0,0,160,0,0,0,0,0,0,0
Connecticut,535,535,2962,1,0,0,0,695,0,0,0,0,0,0,0
Connecticut,535,535,2763,1,112,647,0,695,0,0,597,1,0,0,647
Connecticut,945,945,3216,1,0,826,0,1105,0,0,0,0,0,0,826
Connecticut,0,0,3216,1,0,0,0,160,0,0,0,0,0,0,0
Connecticut,0,0,2672,5,0,0,0,170,0,0,0,0,0,0,0
Connecticut,321,321,4252,1,255,1267,0,491,0,0,0,0,0,777,1267
Connecticut,0,0,3216,1,0,0,0,160,0,0,0,0,0,0,0
Connecticut,741,741,3216,4,74,735,0,901,0,0,0,0,0,0,735
Connecticut,535,535,2672,1,0,0,0,705,0,0,0,0,0,0,0
Connecticut,535,535,3698,1,160,0,0,1456,0,0,0,0,1915,459,1915
Connecticut,648,648,3216,1,187,755,0,808,0,0,0,0,0,0,755
Connecticut,535,535,2763,4,68,533,0,695,0,0,0,0,0,0,533
Connecticut,535,535,4295,4,160,782,0,861,0,0,0,0,831,752,1613
Connecticut,596,596,3887,1,240,1085,0,756,0,0,0,0,0,330,1085
Connecticut,535,535,2672,5,0,0,0,705,0,1,0,0,0,0,0
Connecticut,571,572,3270,4,240,756,0,731,0,0,0,0,0,24,756
Connecticut,0,0,3216,1,0,0,0,160,0,0,0,0,0,0,0
Connecticut,491,491,4416,1,240,1260,0,651,0,0,0,0,0,609,1260
Connecticut,573,573,5247,1,240,2370,0,733,0,0,0,0,0,1636,2370
Connecticut,535,535,3216,1,0,0,0,799,0,0,0,0,521,0,521
Connecticut,535,535,3216,1,153,0,0,867,0,0,0,0,860,0,860
Connecticut,781,781,5125,1,240,2004,0,941,0,1,0,0,0,1064,2004
Connecticut,388,388,4621,1,240,0,0,1287,0,0,0,0,2198,910,2198
Connecticut,0,0,3216,1,0,0,0,160,0,0,0,0,0,0,0
Connecticut,587,587,3256,1,240,765,0,747,0,0,0,0,0,19,765
Connecticut,630,630,3216,1,185,735,0,790,0,0,0,0,0,0,735
Connecticut,570,570,3216,1,186,676,0,730,0,0,0,0,0,0,676
Connecticut,516,602,4366,3,240,1364,0,676,0,0,0,0,0,602,1364
Connecticut,539,539,4416,1,240,103,0,1095,0,0,0,0,1982,990,2085
Connecticut,0,0,3216,1,0,0,0,160,0,0,0,0,0,0,0
Connecticut,675,675,3216,1,122,717,0,835,0,0,0,0,0,0,717
Connecticut,0,0,3216,5,0,0,0,160,0,0,0,0,0,0,0
Connecticut,535,535,4020,5,160,0,0,1328,0,0,0,0,1845,517,1845
Connecticut,535,535,2763,4,18,0,0,833,0,0,0,0,691,0,691
Connecticut,484,484,4206,1,240,1128,0,644,0,0,0,0,0,484,1128
Connecticut,631,631,3724,1,240,994,0,791,0,0,0,0,0,203,994
Connecticut,873,873,4134,1,240,989,0,1128,0,0,0,0,476,336,1465
Connecticut,535,535,2751,1,0,162,0,695,0,0,162,1,0,0,162
Connecticut,684,684,3434,1,240,949,0,844,0,0,0,0,0,106,949
Connecticut,535,535,3114,1,0,0,0,695,0,0,0,0,0,0,0
Connecticut,700,700,3444,5,240,967,0,860,0,0,0,0,0,108,967
