state,FSSLTDED,SHELDED,HWGT,VEHICLEA,FSSTDDE2,FSUNEARN,FSASSET,FSTOTDED,LIQRESOR,FSNONCIT,FSTANF,TANF_IND,FSWAGES,RAWNET,FSGRINC
Alabama,211,224,3826,4,169,463,0,477,0,0,3,0,339,401,814
Alaska,255,252,834,2,222,537,154,637,154,0,55,0,419,546,981
Arizona,194,194,5353,1,140,362,0,471,0,0,3,0,419,434,818
Arkansas,132,129,1807,2,162,498,115,377,92,0,1,0,290,479,804
California,330,314,29938,5,125,333,0,592,0,0,98,0,400,284,773
Colorado,340,341,3335,1,152,474,0,592,0,0,27,0,306,334,820
Connecticut,500,510,3138,2,128,581,0,737,0,0,27,0,277,266,863
Delaware,237,222,1218,1,157,494,0,513,0,0,11,0,423,481,938
District of Columbia,260,235,865,1,129,436,0,470,0,0,63,0,195,352,639
Florida,311,309,19742,2,165,499,0,572,0,0,5,0,344,384,890
Georgia,225,223,8391,1,146,461,0,481,0,0,1,0,287,375,772
Guam,80,245,429,1,257,172,0,600,0,0,8,0,761,486,947
Hawaii,120,115,1546,1,222,546,0,434,0,0,30,0,311,511,892
Idaho,227,330,842,3,171,476,63,514,42,0,3,0,384,466,907
Illinois,257,247,13933,1,139,428,0,518,0,0,5,0,344,353,785
Indiana,258,246,3627,2,170,485,32,520,32,0,1,0,351,419,863
Iowa,223,222,2131,2,163,482,1,510,1,0,14,0,448,532,962
Kansas,276,263,1307,2,174,485,152,551,147,0,8,0,378,409,874
Kentucky,163,156,3318,1,154,474,0,399,0,0,10,0,260,426,756
Louisiana,213,208,6281,2,153,430,82,449,82,0,1,0,242,313,690
Maine,416,415,1119,1,184,703,261,655,217,0,26,0,297,426,1029
Maryland,259,261,5320,1,152,507,0,554,0,0,28,0,366,413,889
Massachusetts,457,473,5550,1,140,633,0,719,0,0,29,0,251,299,894
Michigan,365,358,9548,2,144,513,28,639,28,0,6,0,363,379,886
Minnesota,308,302,2545,2,166,580,0,583,0,0,0,0,388,513,1006
Mississippi,162,161,2780,1,148,428,0,414,0,0,3,0,303,403,746
Missouri,259,250,4369,2,160,501,129,525,128,0,5,0,281,361,794
Montana,319,308,904,1,161,480,0,595,0,0,37,0,410,423,929
Nebraska,289,286,1040,1,163,494,64,569,63,0,19,0,403,463,934
Nevada,194,183,2964,3,141,388,0,454,0,0,12,0,363,419,786
New Hampshire,383,382,823,2,167,707,134,632,130,0,42,0,290,468,1028
New Jersey,380,381,6210,1,169,595,0,649,0,0,6,0,395,421,1003
New Mexico,200,199,2689,1,152,395,0,457,0,0,17,0,362,402,784
New York,505,514,20324,1,147,639,0,770,0,0,32,0,328,334,978
North Carolina,259,251,7051,1,154,437,0,548,0,0,3,0,462,460,923
North Dakota,343,335,641,1,150,496,0,646,0,0,14,0,351,327,869
Ohio,306,301,8730,2,164,564,0,554,0,0,13,0,313,429,906
Oklahoma,192,188,3068,1,150,398,0,441,0,0,3,0,297,380,733
Oregon,304,304,4860,1,145,488,0,561,0,0,20,0,286,343,804
Pennsylvania,413,415,14056,1,155,566,0,672,0,0,12,0,345,384,940
Rhode Island,452,464,1546,1,152,609,0,697,0,0,22,0,267,315,889
South Carolina,189,186,3592,1,152,471,0,455,0,0,7,0,305,408,791
South Dakota,348,347,676,2,132,445,286,623,253,0,30,0,347,313,808
Tennessee,160,158,5409,2,146,431,137,391,137,0,5,0,225,349,674
Texas,250,250,22052,1,170,435,0,540,0,0,3,0,385,436,905
Utah,244,234,1031,3,159,428,214,528,212,0,14,0,433,455,902
Vermont,648,650,717,1,145,749,0,918,0,0,37,0,257,282,1043
Virgin Islands,68,60,702,1,126,271,0,341,0,0,6,0,353,386,673
Virginia,195,191,5276,1,169,524,161,448,161,0,14,0,270,422,816
Washington,304,306,7074,2,139,457,0,562,0,0,18,0,352,375,822
West Virginia,220,231,2279,1,155,529,0,448,0,0,3,0,250,438,800
Wisconsin,281,275,4038,1,165,558,0,571,0,0,10,0,403,524,1016
Wyoming,254,254,497,3,165,460,187,557,168,0,2,0,399,429,891
