Unit QC Review Administrative Data (Not Included in These Analyses),,,,,
ACTNTYPE             R       Type of action,,,,,
ALLADJ               R       Allotment adjustment,,,,,
AMTADJ               R       Amount of allotment adjustment,,,,,
AUTHREP              R       Authorized representative,,,,,
CASE                 R       Case classification,,,,,
CAT_ELIG             C       Indicator of categorical eligibility status,,,,,
CERTMTH              R       Months in certification period,,,,,
COUPFIX              C       Coupon allotment adjusted for errors,,,,,
EXPEDSER             R       Received expedited service,,,,,
HHLDNO               C       Household identification number,,,,,
LASTCERT             C       Months since last certification for FSP,,,,,
LOCALCOD             R       Local agency code,,,,,
MED_DED_DEMO         C       Indicator of Medical Deduction Demonstration participation,,,,,
MN_FIP               C       Indicator of MFIP participation,,,,,
PURE_PA              C       Indicator of Pure PA status,,,,,
RCNTACTN             R       Most recent action on case,,,,,
REP_SYS              R       Reporting system,,,,,
REVNUM               R       State QC review number,,,,,
SSI_CAP              C       Indicator of SSI-CAP participation,,,,,
STATUS               R       Status of case error findings,,,,,
YRMONTH              R       Sample year and month,,,,,
,,,,,
Unit Demographics and Sample Weights (UNIT_Demo),,,,,
CERTHHSZ,,,,,R     Certified unit size
COUNTYCD,,,,,C     FIPS code for county
CTPRHH,,,,,C     Number of people in household
FSDIS,,,,,C     Indicator of presence of disabled person in unit
FSNELDER,,,,,C     Number of elderly individuals in unit
FSNGMOM,,,,,C     Indicator of single-female headed unit
FSNK0T4,,,,,C     Number of preschool-age children in unit
FSNK5T17,,,,,C     Number of school-age children in unit
FSNKID,,,,,C     Number of children in unit
FSNONCIT,,,,,C     Number of noncitizens in unit
FSUSIZE,,,,,C     Constructed certified unit size
FYWGT,,,,,C     Weight used for full-year calculations
HWGT,,,,,C     Monthly sample weight
RAWHSIZE,,,,,R     Reported number of people in household
REGION,,,,,C     Constructed census region code
REGIONCD,,,,,R     FNS region code
STATE,,,,,R     FIPS code for State or territory
STRATUM,,,,,R     Stratum identification
TANF_IND,,,,,C     Indicator of TANF receipt for household
TPOV,,,,,C       Gross income/poverty level ratio
URBRUR,,,,,C       Urban/rural indicator
WRK_POOR,,,,,C       Indicator of working poor household
,,,,,
Unit Countable Income  - Monthly Dollar Amounts (UNIT_Inc),,,,,
FSCONT,,,,,C    Countable unit income from contributions
FSCSUPRT,,,,,C    Countable unit child support payment income
FSDEEM,,,,,C    Countable unit deemed income
FSDIVER,,,,,C    Countable unit State diversion payments
FSEARN,,,,,C    Countable unit earned income
FSEDLOAN,,,,,C    Countable unit income from educational grants and loans
FSEITC,,,,,C    Countable unit income from earned income tax credit
FSENERGY,,,,,C    Countable unit energy assistance income
FSGA,,,,,C    Countable unit general assistance benefits
FSGRINC,,,,,C    Final gross countable unit income
FSNETINC,,,,,C    Final net countable unit income
FSOTHERN,,,,,C    Countable unit other earned income
FSOTHGOV,,,,,C    Countable unit income from other government benefits
FSOTHUN,,,,,C    Countable unit other unearned income
